id;name;code;ordinal
1;"stopwatch";"badge-1";1
2;"pipe";"badge-2";2
3;"stack";"badge-3";3
4;"magnifying glass";"badge-4";4
5;"happy face";"badge-5";5
6;"target";"badge-6";6
7;"quill";"badge-7";7
